Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1 ,-214 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
2 ,-194 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
3 ,-173 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
4 ,-153 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
5 ,-133 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
6 ,-113 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
7 ,-92 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
8 ,-72 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
9 ,-52 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
10 ,-32 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
11 ,-11 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
12 ,9 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
13 ,29 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
14 ,49 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
15 ,70 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
16 ,90 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
17 ,110 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
18 ,130 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
19 ,150 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
20 ,171 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
21 ,191 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
22 ,211 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
23 ,231 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
24 ,252 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
25 ,272 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
26 ,292 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
27 ,312 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
28 ,333 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
29 ,353 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
30 ,373 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
31 ,393 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
32 ,414 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
33 ,434 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
34 ,454 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
35 ,474 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
36 ,495 ,-1402 ,150 ,0 ,10 ,0 ,10 ,
